date,count,70.2,cow bay,mainstem fence,skutz,vimy pool,ck,co
2016-09-10,29,,,,,,True,False
2016-09-13,163,,,,,,True,False
2016-09-14,119,,,,,,True,False
2016-09-15,26,,,,,,True,False
2016-09-16,20,,,,,,True,False
2016-09-19,21,,,,,,True,False
2016-09-20,89,,,,,,True,False
2016-09-21,62,,,,,,True,False
2016-09-22,21,,,,,,True,False
2016-09-23,19,,,,,,True,False
2016-09-26,21,,,,,,True,False
2016-09-27,9,,,,,,True,False
2016-10-03,12,,,,,,True,False
2016-10-04,29,,,,,,True,False
2016-10-11,41,,,,,,True,False
2016-10-12,27,,,,,,True,False
2016-10-25,2,,,,,,True,False
2016-11-28,3,,,,,,True,False
2017-06-19,1060,,,,,,True,False
2017-06-20,753,,,,,,True,False
2017-06-21,1044,,,,,,True,False
2017-06-22,1101,,,,,,True,False
2017-06-22,18,,,,,,False,True
2017-08-01,8,,,,,,True,False
2017-08-09,23,,,,,,True,False
2017-08-14,105,,,,,,True,False
2017-08-15,50,,,,,,True,False
2017-08-16,58,,,,,,True,False
2017-08-21,50,,,,,,True,False
2017-08-28,1,,,,,,True,False
2017-09-01,51,,,,,,True,False
2017-09-06,7,,,,,,True,False
2017-09-07,55,,,,,,True,False
2017-09-08,4,,,,,,True,False
2017-09-12,47,,,,,,True,False
2017-09-13,41,,,,,,True,False
2017-09-14,30,,,,,,True,False
2017-09-15,6,,,,,,True,False
2017-09-22,31,,,,,,True,False
2017-09-26,68,,,,,,True,False
2017-10-05,15,,,,,,True,False
2017-12-16,1,,,,,,True,False
2017-12-27,5,,,,,,True,False
2018-01-12,4,,,,,,True,False
2018-01-15,2,,,,,,True,False
2018-02-08,1,,,,,,True,False
2018-02-19,1,,,,,,True,False
2018-05-02,1,,,,,,True,False
2018-05-04,1,,,,,,True,False
2018-05-14,52,,,,,,True,False
2018-05-14,3,,,,,,False,True
2018-05-15,27,,,,,,True,False
2018-05-15,2,,,,,,False,True
2018-05-16,28,,,,,,True,False
2018-05-16,2,,,,,,False,True
2018-05-17,116,,,,,,True,False
2018-05-17,1,,,,,,False,True
2018-05-23,34,,,,,,True,False
2018-05-25,13,,,,,,True,False
2018-05-25,26,,,,,,False,True
2018-05-28,35,,,,,,True,False
2018-05-28,77,,,,,,False,True
2018-05-29,48,,,,,,True,False
2018-05-29,7,,,,,,False,True
2018-05-30,12,,,,,,True,False
2018-05-30,65,,,,,,False,True
2018-05-31,63,,,,,,True,False
2018-05-31,78,,,,,,False,True
2018-06-01,28,,,,,,True,False
2018-06-01,52,,,,,,False,True
2018-06-02,42,,,,,,True,False
2018-06-02,42,,,,,,False,True
2018-06-04,29,,,,,,True,False
2018-06-04,18,,,,,,False,True
2018-06-05,371,,,,,,True,False
2018-06-05,85,,,,,,False,True
2018-06-06,590,,,,,,True,False
2018-06-06,12,,,,,,False,True
2018-06-07,726,,,,,,True,False
2018-06-07,30,,,,,,False,True
2018-06-11,645,,,,,,True,False
2018-06-11,24,,,,,,False,True
