date,species,count
2018-05-17,CN,116
2018-05-17,CO,1
2018-05-17,ST,1
2018-05-23,CN,34
2018-05-25,CN,13
2018-05-25,CO,26
2018-05-25,ST,1
2018-05-28,CN,35
2018-05-28,CO,77
2018-05-29,CN,48
2018-05-29,CO,7
2018-05-30,CN,12
2018-05-30,CO,65
2018-05-31,CN,63
2018-05-31,CO,78
2018-06-01,CN,28
2018-06-01,CO,52
2018-06-02,CN,42
2018-06-02,CO,42
2018-06-04,CN,29
2018-06-04,CO,18
2018-06-05,CN,371
2018-06-05,CO,85
2018-06-06,CN,590
2018-06-06,CO,12
2018-06-06,ST,1
2018-06-07,CN,726
2018-06-07,CO,30
2018-06-11,CM,1
2018-06-11,CN,645
2018-06-11,CO,24
2018-06-11,ST,1
2018-06-12,CN,482
2018-06-12,CO,6
2018-06-13,CN,181
2018-06-13,CO,9
2018-06-13,ST,1
2018-09-25,CN,9
2018-10-03,CN,108
2018-10-03,CO,1
2018-10-10,CN,112
2019-01-16,CN,5
2019-01-20,CN,1
2019-01-21,CN,10
2019-01-27,CN,4
2019-01-29,CN,13
2019-02-21,CN,13
2019-03-02,CN,1
2019-03-05,CN,3
2019-03-23,CN,1
2019-03-30,CN,1
2019-04-17,CN,1
2019-04-17,CO,1
2019-04-20,CN,2
2019-04-20,CO,32
2019-04-21,CO,12
2019-04-22,CO,11
2019-04-24,CO,12
2019-04-26,CN,1
2019-04-26,CO,77
2019-04-28,CN,7
2019-04-28,CO,60
2019-04-29,BT,7
2019-04-29,CO,146
2019-04-30,CO,229
2019-05-01,BT,13
2019-05-01,CN,4
2019-05-01,CO,379
2019-05-03,BT,17
2019-05-03,CN,4
2019-05-03,CO,402
2019-05-05,CO,130
2019-05-06,BT,7
2019-05-06,CO,485
2019-05-07,CO,209
2019-05-08,BT,1
2019-05-08,CN,18
2019-05-08,CO,354
2019-05-09,CO,230
2019-05-10,BT,1
2019-05-10,CO,975
2019-05-13,CN,1
2019-05-13,CO,114
2019-05-14,BT,1
2019-05-14,CO,293
2019-05-15,CN,7
2019-05-15,CO,299
2019-05-16,CO,126
2019-05-17,CO,105
2019-05-23,CN,77
2019-05-23,CO,100
2019-05-29,CN,239
2019-05-31,CN,545
2019-06-03,CN,381
2019-06-05,CN,127
2019-06-10,CN,544
2019-06-13,CN,397
2019-06-14,CN,602
2019-06-17,CN,660
2019-06-19,CN,366
2019-06-21,CN,248
2019-06-25,CN,1
2019-06-26,CN,82
2019-07-05,CN,1
2019-07-09,CN,7
2019-07-12,CN,7
2019-08-23,CN,1
2019-08-24,CN,2
2019-08-25,CN,1
2019-08-26,CN,2
2019-08-27,CN,3
2019-08-28,CN,1
2019-08-29,CN,1
2019-09-03,CN,3
2019-09-05,CN,6
2019-09-06,CN,8
2019-09-08,CN,5
2019-09-09,CN,1
2019-09-11,CN,4
2019-09-13,CN,1
2019-09-18,CN,1
2019-09-19,CN,2
2019-09-20,CN,1
2019-09-23,CN,2
2019-09-24,CN,6
2019-09-25,CN,1
2019-10-27,CN,15
2019-11-01,CO,2
2019-11-03,CN,2
2019-11-05,CO,2
2019-11-06,CO,1
2019-11-10,CO,7
2019-11-12,CO,4
2019-11-14,CO,2
2019-11-16,CO,4
2019-11-18,CO,2
2019-11-24,CO,2
2019-11-25,CO,3
2019-12-05,CO,2
2019-12-08,CN,11
2019-12-08,CO,2
2019-12-27,CN,1
2020-01-09,CN,13
2020-01-28,CN,13
2020-02-09,CN,2
2020-02-16,CN,22
2020-03-09,CN,6
2020-04-06,CN,3
2020-04-29,CO,72
2020-05-01,CO,88
2020-05-04,CO,166
2020-05-06,CO,68
2020-05-08,CO,152
2020-05-11,CO,265
2020-05-13,CO,279
2020-05-15,CO,148
2020-05-17,CO,183
2020-05-18,CN,1
2020-05-20,CO,66
2020-05-22,CO,109
2020-05-26,CO,28
2020-05-29,CO,11
2020-05-31,CN,3
2020-06-01,CO,6
2020-06-04,CM,1
2020-06-04,CN,633
2020-06-04,CO,4
2020-06-10,CN,754
2020-06-10,CO,2
2020-06-12,CM,1
2020-06-12,CN,558
2020-06-12,CO,3
2020-06-15,CN,84
2020-06-17,CN,309
2020-06-17,CO,1
2020-06-19,CN,315
2020-06-19,CO,4
2020-06-21,CN,1
2020-06-22,CN,171
2020-06-22,CO,1
2020-06-24,CN,225
2020-06-24,CO,9
2020-07-04,CN,24
2020-07-25,CN,2
2020-07-26,CN,3
2020-09-01,CN,2
2020-09-02,CN,2
2020-09-03,CN,1
2020-09-04,CN,1
2020-09-05,CN,4
2020-09-08,CN,2
2020-09-09,CN,2
2020-09-10,CN,2
2020-09-12,CN,1
2020-09-14,CN,2
2020-09-15,CN,2
2020-09-16,CN,2
2020-09-17,CN,3
2020-09-18,CN,2
2020-09-19,CN,2
2020-09-20,CN,1
2020-09-21,CN,2
2020-09-22,CN,1
2020-09-27,CN,1
2020-10-17,CO,2
2020-10-18,CO,1
2020-10-24,CO,1
2020-10-27,CO,2
2020-10-29,CO,2
2020-10-31,CO,3
2020-11-01,CO,1
2020-11-05,CO,2
2020-11-06,CO,1
2020-11-07,CO,5
2020-11-11,CO,3
2020-11-12,CO,2
2020-11-15,CO,3
2020-11-20,CO,4
2020-11-27,CO,4
2020-11-28,CO,2
2020-11-29,CO,1
2020-12-03,CO,1
