UTC_DATE,RELATIVE_HUMIDITY,WIND_SPEED,TEMP,WINDCHILL,DEW_POINT_TEMP
2019-12-21,97.16666666666667,0.125,5.383333333333333,,4.9750000000000005
2019-12-22,95.20833333333333,0.7083333333333334,5.766666666666667,,5.041666666666667
2019-12-23,98.625,0.25,1.925,,1.7125000000000001
2019-12-24,95.95833333333333,0.125,3.9583333333333335,,3.3791666666666664
2019-12-25,95.25,2.1666666666666665,3.9,,3.1875
2019-12-26,97.66666666666667,0.4583333333333333,1.175,,0.8250000000000001
2019-12-27,97.16666666666667,0.375,2.620833333333333,,2.2041666666666666
2019-12-28,97.75,0.0,4.1375,,3.8625000000000003
2019-12-29,96.33333333333333,1.0833333333333333,6.020833333333333,,5.4750000000000005
2019-12-30,96.25,1.7916666666666667,6.9624999999999995,,6.379166666666666
2019-12-31,96.08333333333333,5.916666666666667,7.3999999999999995,,6.829166666666667
2020-01-01,77.79166666666667,8.958333333333334,10.6875,,6.795833333333333
2020-01-02,86.16666666666667,2.9166666666666665,3.904166666666667,,1.6500000000000001
2020-01-03,96.41666666666667,4.125,6.05,,5.516666666666667
2020-01-04,87.16666666666667,6.041666666666667,5.741666666666667,,3.7416666666666667
2020-01-05,89.41666666666667,3.5,5.158333333333333,,3.275
2020-01-06,93.04166666666667,1.0,3.783333333333333,,2.6791666666666667
2020-01-07,96.83333333333333,2.6666666666666665,6.4125000000000005,,5.9375
2020-01-08,84.16666666666667,3.0,5.25,,2.6833333333333336
2020-01-09,92.45833333333333,0.25,0.6166666666666667,-1.0,-0.5708333333333334
2020-01-10,94.58333333333333,1.0833333333333333,1.875,,1.0833333333333333
2020-01-11,96.33333333333333,1.25,4.1375,,3.6208333333333336
2020-01-12,92.625,3.8333333333333335,2.9416666666666664,,1.8291666666666666
2020-01-13,92.625,2.8333333333333335,-3.0083333333333333,-4.846153846153846,-4.045833333333333
2020-01-14,85.95833333333333,0.2916666666666667,-5.0874999999999995,-6.0,-7.079166666666667
2020-01-15,94.375,5.333333333333333,-4.720833333333333,-7.318181818181818,-5.4750000000000005
2020-01-16,89.25,5.791666666666667,0.7999999999999999,-4.444444444444445,-0.875
2020-01-17,94.25,0.5833333333333334,-2.7125,-4.0,-3.545833333333333
2020-01-18,96.125,2.8333333333333335,1.575,,1.0250000000000001
2020-01-19,98.58333333333333,0.8333333333333334,3.4125,,3.204166666666667
2020-01-20,98.54166666666667,0.5,3.3208333333333333,,3.1291666666666664
2020-01-21,98.08333333333333,1.4583333333333333,4.0874999999999995,,3.829166666666667
2020-01-22,98.20833333333333,0.875,3.4375,,3.1666666666666665
2020-01-23,98.375,2.625,6.816666666666666,,6.566666666666666
2020-01-24,93.70833333333333,4.083333333333333,8.420833333333333,,7.416666666666667
2020-01-25,97.25,1.5833333333333333,6.308333333333334,,5.879166666666666
2020-01-26,89.375,5.041666666666667,8.0625,,6.320833333333333
2020-01-27,93.56521739130434,2.391304347826087,5.965217391304347,,4.982608695652174
2020-01-28,96.26086956521739,3.4782608695652173,6.01304347826087,,5.460869565217391
2020-01-29,94.54166666666667,1.375,7.020833333333333,,6.1499999999999995
2020-01-30,91.625,1.25,3.2291666666666665,-1.0,1.8166666666666667
2020-01-31,97.5,1.8333333333333333,7.179166666666667,,6.779166666666666
2020-02-01,77.33333333333333,9.166666666666666,10.008333333333333,,5.779166666666666
2020-02-02,74.66666666666667,4.583333333333333,2.4541666666666666,-2.0,-1.9625000000000001
2020-02-03,89.16666666666667,1.9166666666666667,0.8458333333333332,-3.5,-0.9541666666666666
2020-02-04,94.16666666666667,0.25,-0.23333333333333336,,-1.1500000000000001
2020-02-05,98.79166666666667,0.5,1.0583333333333333,,0.9249999999999999
2020-02-06,98.54166666666667,0.25,3.391666666666667,,3.1666666666666665
2020-02-07,97.375,0.9583333333333334,4.691666666666666,,4.329166666666667
2020-02-08,85.25,3.7916666666666665,5.55,,2.875
2020-02-09,85.58333333333333,0.6666666666666666,1.4458333333333335,-3.0,-1.1333333333333333
2020-02-10,88.625,1.0416666666666667,3.329166666666667,,1.5291666666666668
2020-02-11,84.58333333333333,3.3333333333333335,5.208333333333333,,2.6333333333333333
2020-02-12,85.79166666666667,1.3333333333333333,6.008333333333333,,3.7416666666666667
2020-02-13,87.625,1.5833333333333333,5.858333333333333,,3.8666666666666667
2020-02-14,64.54166666666667,6.5,6.683333333333334,,0.3
2020-02-15,87.25,2.625,5.583333333333333,,3.5583333333333336
2020-02-16,82.95833333333333,2.4583333333333335,4.154166666666667,,1.2375
2020-02-17,80.29166666666667,2.6666666666666665,2.783333333333333,-3.0,-0.5958333333333333
2020-02-18,84.08333333333333,1.4166666666666667,1.675,,-1.0374999999999999
2020-02-19,82.16666666666667,1.625,0.8375,,-2.2291666666666665
2020-02-20,78.25,1.2083333333333333,1.5791666666666666,,-2.3666666666666667
2020-02-21,80.875,1.25,2.0416666666666665,,-1.3458333333333332
2020-02-22,74.29166666666667,4.208333333333333,7.245833333333334,,2.725
