date,month,year,Temp,Flow,Level,count,october_Flow,november_Flow,december_Temp,january_Temp,february_Temp,october_Level,november_Level,rolling_Temp_mean_15,rolling_Temp_mean_10,rolling_Temp_mean_5,rolling_Temp_std_15,rolling_Temp_std_10,rolling_Temp_std_5,rolling_Flow_mean_15,rolling_Flow_mean_10,rolling_Flow_mean_5,rolling_Flow_std_15,rolling_Flow_std_10,rolling_Flow_std_5,rolling_Level_mean_15,rolling_Level_mean_10,rolling_Level_mean_5,rolling_Level_std_15,rolling_Level_std_10,rolling_Level_std_5
2021-12-09,12,2021,3.3600000000000003,16.55500030517578,1.121999979019165,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,5.677333333333333,4.435166666666666,2.4436666666666653,3.9968195838333465,4.249356755969731,2.508624886156314,43.83033348719279,28.985500192642213,17.310999965667726,32.24825831591281,15.845739704883615,1.2679285110673235,1.4751333316167197,1.3069500088691712,1.1379000067710876,0.36233430976138226,0.21960931175285942,0.024414144535008266
2021-12-10,12,2021,-0.2583333333333333,15.980000019073486,1.1134999990463257,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,5.247333333333333,3.4768333333333326,2.4994999999999985,4.274826938852885,4.102136841533452,2.427481090439797,42.382333501180014,25.05350008010864,16.666999912261964,33.02154256328962,13.257580752698246,0.8000201778718395,1.4555333336194356,1.2511500060558318,1.125600004196167,0.3740175821964486,0.18482545387101423,0.01454906776773009
2021-12-11,12,2021,5.266666666666667,74.45000076293945,1.9334999322891235,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,5.055111111111111,2.8243333333333327,3.411166666666665,4.199138468264751,3.0047596964370826,2.442535084474195,43.1423334757487,26.91850004196167,28.10300006866455,33.656277936991025,18.384038155613837,25.918917847203783,1.4684333284695943,1.2786499977111816,1.2846999883651733,0.38761936012559833,0.25810181703730856,0.36291569624074044
2021-12-12,12,2021,1.6875,49.60000038146973,1.6514999866485596,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,4.7462222222222215,2.127249999999999,3.202833333333332,4.269210874940292,2.2023928853171486,2.556990391282211,42.685666720072426,27.853500080108642,34.85400018692017,33.508964561717406,19.34980633256562,26.32082658332876,1.4699999968210855,1.2963499963283538,1.392799985408783,0.38835714702837904,0.2783035758101529,0.3784090765253438
2021-12-13,12,2021,2.3583333333333334,33.60000038146973,1.437000036239624,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,4.256222222222222,2.2922499999999992,2.482833333333332,4.076450027663994,2.1453472858376936,2.0421312056548793,35.805666796366374,28.338500118255617,38.03700037002564,21.1033776027565,19.43536681529983,24.633737673389877,1.405666669209798,1.307099997997284,1.4514999866485596,0.29055135510658464,0.2817808066776297,0.35190497396536125
2021-12-14,12,2021,1.1416666666666666,26.700000762939453,1.3289999961853027,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,3.6364999999999994,2.241416666666666,2.0391666666666657,3.764264815760714,2.1681572169914007,2.0448903121896693,32.679000282287596,28.688500213623048,40.06600046157837,18.405737929114842,19.363932231662112,22.769228980648474,1.368933335940043,1.3153999984264373,1.4928999900817872,0.2594674308409617,0.28100243300856687,0.3135341424871528
2021-12-15,12,2021,4.1125,22.449999809265137,1.253000020980835,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,3.2889999999999993,2.706416666666666,2.9133333333333318,3.4271172230195006,1.9979010224157,1.7266784306222684,30.489000193277995,29.01350016593933,41.360000419616696,17.451520414399123,19.213675251359042,21.187065840399825,1.3410333355267843,1.323199999332428,1.520799994468689,0.24680018636609363,0.27773578712384916,0.2751954872329853
2021-12-16,12,2021,3.4250000000000003,20.0,1.2070000171661377,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,2.7312222222222218,2.9780833333333327,2.5449999999999986,2.4998324123721796,1.8770684496057986,1.2217765127962523,28.10233345031738,29.28650016784668,30.47000026702881,16.141578057514703,19.046947695446757,11.873373723271024,1.3109333356221518,1.3300999999046326,1.3755000114440918,0.2324303790291379,0.2734474979683543,0.1771432940566413
2021-12-17,12,2021,-0.0041666666666666,17.40000009536743,1.1539999842643738,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,2.1537222222222216,2.7047499999999998,2.206666666666665,1.9791300715078075,2.102781705926011,1.6704451959810225,26.579000123341878,29.44200019836426,24.03000020980835,15.990786545646136,18.931012468062384,6.3523226207736805,1.2895666678746542,1.3343999981880188,1.2760000109672547,0.2310473576835993,0.2699348303307354,0.11057125730750152
2021-12-18,12,2021,1.4583333333333333,31.75,1.4110000133514404,0.0,8.635000048145171,34.35133328437805,4.033768788870472,4.458339177185601,3.223363095238095,0.9097903149743234,1.3531166742245355,2.2037222222222215,2.254749999999999,2.0266666666666655,1.94925440738463,1.7869268506135747,1.698274757739763,26.779000123341877,30.84850025177002,23.660000133514405,16.038568604055204,18.477513272002568,5.67311651357181,1.2950000007947287,1.3611499965190887,1.2708000063896179,0.23300351148708173,0.2620543739185155,0.1013321321672403
